INSTANCE,SET, MEAN_P1, MEAN_P2, MEAN_C, K, MEAN_D, N, DOM/MINC_CHECKS, DOM/MINC_TIME, DEG/MINC_CHECKS, DEG/MINC_TIME, DOMDEG/MINC_CHECKS, DOMDEG/MINC_TIME, K/MINC_CHECKS, K/MINC_TIME, WDEG/MINC_CHECKS, WDEG/MINC_TIME, DOMWDEG/MINC_CHECKS, DOMWDEG/MINC_TIME, MAXP2/MINC_CHECKS, MAXP2/MINC_TIME, MAXC/MINC_CHECKS, MAXC/MINC_TIME
qcp-15-120-11_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,117255173,60013,323008026,60013,112076711,60013,83894159,60013,307714056,60013,229734251,60013,235282124,60013,319001330,60013
qcp-15-120-12_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,120415454,60013,339077238,60013,117939612,60013,88746354,60013,336602542,60013,42076361,10218,234198904,60013,320128987,60013
qcp-15-120-13_ext.xml,QCP-15,0.125,0.05333,0.48148,0.53502,8.46667,225,112222515,60013,327924635,60013,112340010,60013,84518347,60013,305291438,60013,222351558,60013,232496320,60013,303890916,60013
qcp-15-120-14_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,118194537,60013,320818626,60013,117908209,60013,94244330,60013,313786947,60013,25718556,6037,241675463,60013,312037203,60013
qcp-15-120-1_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,8405394,4602,347501379,60013,951140,577,1288175,982,289762925,60013,226696871,60013,216015234,60013,319835137,60013
qcp-15-120-2_ext.xml,QCP-15,0.125,0.05333,0.48148,0.53502,8.46667,225,118231564,60013,331269337,60013,111414706,60013,18986128,13150,308990093,60013,227522200,60013,208664458,60013,327200812,60013
qcp-15-120-3_ext.xml,QCP-15,0.125,0.05333,0.48148,0.53502,8.46667,225,105555024,60013,322049960,60013,44071276,26223,81447005,60013,304778243,60013,226925787,60013,238342873,60013,317675385,60013
qcp-15-120-4_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,107056965,60013,284959392,60013,112635054,60013,81904591,60013,285250548,60013,223160395,60013,222030791,60013,305696212,60013
qcp-15-120-5_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,103506294,60013,314161538,60013,106203727,60013,59950913,43883,310547117,60013,230722459,60013,263901411,60013,326437372,60013
qcp-15-120-6_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,109403914,60013,344417867,60013,14942554,8548,1451323,1076,288330465,60013,219847383,60013,210494379,60013,291180484,60013
qcp-15-120-7_ext.xml,QCP-15,0.125,0.05333,0.48148,0.53502,8.46667,225,25673553,14601,313585102,60013,395021,249,954876,717,292910965,60013,215325608,60013,190583503,60013,311822340,60013
qcp-15-120-8_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,110410729,60013,309407799,60013,101151137,58843,83475967,60013,302823076,60013,237989300,60013,262667114,60013,318765248,60013
qcp-15-120-9_ext.xml,QCP-15,0.125,0.05331,0.48148,0.5348,8.46667,225,121409772,60013,347058475,60013,114059425,60013,85646334,60013,312498870,60013,217738877,60013,253778305,60013,324997186,60013
rand-2-30-15-306-230-fcd-10_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28839,0.50178,0.97034,15,30,19378907,25053,37875329,53087,18082553,23758,5474209,7254,26983139,37752,15263036,20030,30109174,41589,42313053,60013
rand-2-30-15-306-230-fcd-11_ext.xml,Rand-2-30-15-306-230-fcd,0.52874,0.28236,0.52004,0.96722,15,30,21126544,27471,90328,140,177780,218,40708,46,446589,624,260131,343,570719,795,768957,1092
rand-2-30-15-306-230-fcd-12_ext.xml,Rand-2-30-15-306-230-fcd,0.50805,0.28939,0.51125,0.96851,15,30,12098483,15662,783348,1107,79295,109,705884,967,1211133,1700,93160,124,19480681,27502,4163876,5928
rand-2-30-15-306-230-fcd-13_ext.xml,Rand-2-30-15-306-230-fcd,0.48736,0.29811,0.48424,0.96071,15,30,15701192,20638,2058348,2886,631890,842,985132,1310,1620673,2308,1123849,1497,7393445,10342,12157109,17643
rand-2-30-15-306-230-fcd-14_ext.xml,Rand-2-30-15-306-230-fcd,0.48736,0.29948,0.48025,0.96708,15,30,6538975,8689,52415,78,1047603,1388,398323,592,1013650,1528,935647,1294,8613675,12261,3030661,4368
rand-2-30-15-306-230-fcd-15_ext.xml,Rand-2-30-15-306-230-fcd,0.51494,0.28722,0.50745,0.96886,15,30,24344,31,2635425,3744,1993835,2714,36153,46,2347651,3338,1736009,2371,2344273,3244,1614085,2293
rand-2-30-15-306-230-fcd-16_ext.xml,Rand-2-30-15-306-230-fcd,0.52414,0.28388,0.51067,0.96541,15,30,9641565,12495,43414535,60013,14861049,18954,6040477,7909,39041505,53617,23591433,30544,44010179,60013,42948898,60013
rand-2-30-15-306-230-fcd-17_ext.xml,Rand-2-30-15-306-230-fcd,0.50805,0.28959,0.50513,0.96834,15,30,24282729,30747,5474038,7425,3761450,4820,332749,436,7119821,9765,3887227,4976,12096173,16442,6100283,8408
rand-2-30-15-306-230-fcd-18_ext.xml,Rand-2-30-15-306-230-fcd,0.50345,0.29139,0.50844,0.96681,15,30,3407930,4368,1374114,1918,1091238,1388,758540,998,2894222,3978,1704246,2230,2983950,4149,4462096,6162
rand-2-30-15-306-230-fcd-19_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28859,0.50127,0.96417,15,30,718020,936,3994303,5428,3797212,4882,2822993,3712,4672103,6396,3838677,4976,15507001,21309,11439191,15880
rand-2-30-15-306-230-fcd-1_ext.xml,Rand-2-30-15-306-230-fcd,0.51724,0.28721,0.52896,0.96798,15,30,16760106,21496,6767993,9484,3277381,4243,419661,561,4701627,6536,2862883,3744,20287554,27736,6915737,9781
rand-2-30-15-306-230-fcd-20_ext.xml,Rand-2-30-15-306-230-fcd,0.51264,0.28743,0.50926,0.96868,15,30,1665792,2074,5014450,6910,2242909,2839,1435410,1872,4202714,5756,2797938,3634,1360351,1840,8435071,11684
